Restaurant; UrlMichelin; Chef; PostalCode ; PriceRange
G.a. au Manoir de Rétival;  https://restaurant.michelin.fr/9rnckmj/ga-au-manoir-de-retival-caudebec-en-caux; David Goerne; 76490; Prix - De 98 € à 149 €
Arpège;  https://restaurant.michelin.fr/2aa11xs/arpege-paris-07; Alain Passard; 75007; Prix - De 175 € à 390 €
1217;  https://restaurant.michelin.fr/2bfuk4c/1217-bagnols; Jean-Alexandre Ouaratta; 69620; Prix - De 65 € à 140 €
Frédéric Simonin;  https://restaurant.michelin.fr/2f8857v/frederic-simonin-paris-17; FREDERIC SIMONIN; 75017; Prix - De 44 € à 155 €
Pont de l'Ouysse;  https://restaurant.michelin.fr/29p8ja1/pont-de-louysse-lacave; Daniel et Stéphane Chambon; 46200; Prix - De 60 € à 89 €
Auberge de Montfleury;  https://restaurant.michelin.fr/2b9eb0t/auberge-de-montfleury-villeneuve-de-berg; Richard Rocle; 07170; Prix - De 17 € à 90 €
Sushi B;  https://restaurant.michelin.fr/2852091/sushi-b-paris-02; ; 75002; Prix - De 58 € à 160 €
Alan Geaam;  https://restaurant.michelin.fr/3045466/alan-geaam-paris-16; Alan Geaam; 75016; Prix - De 48 € à 100 €
ES;  https://restaurant.michelin.fr/27ym5i25/es-paris-07; ; 75007; Prix - De 55 € à 105 €
René et Maxime Meilleur;  https://restaurant.michelin.fr/2avet55/rene-et-maxime-meilleur-saint-martin-de-belleville; René et Maxime Meilleur; 73440; Prix - De 149 € à 315 €
Le Pressoir d'Argent - Gordon Ramsay;  https://restaurant.michelin.fr/2epcrm9/le-pressoir-dargent-gordon-ramsay-bordeaux; Gordon Ramsay et le Chef Exécutif Gilad Peled; 33000; Prix - De 90 € à 150 €
Le Gindreau;  https://restaurant.michelin.fr/2avrk5m/le-gindreau-saint-medard; Pascal Bardet; 46150; Prix - De 42 € à 147 €
Au Souper Fin;  https://restaurant.michelin.fr/29783wk/au-souper-fin-frichemesnil; ; 76690; Prix - De 36 € à 80 €
